,Name,Label,Price,Kms_driven,Fuel_type,Owner,Year,Company
96,Maruti Suzuki Alto,PLATINUM,343299,48658,Petrol,2nd Owner,2017,Maruti
97,MG Motors Hector,PLATINUM,1711499,11998,Petrol,2nd Owner,2020,MG
98,Maruti Suzuki Vitara,PLATINUM,918799,32513,Diesel,2nd Owner,2018,Maruti
99,Hyundai Grand i10,PLATINUM,526399,21372,Petrol,2nd Owner,2016,Hyundai
100,Volkswagen Vento,PLATINUM,881099,34178,Petrol,1st Owner,2017,Volkswagen
101,Kia Seltos,PLATINUM,1764199,20547,Petrol,2nd Owner,2019,Kia
102,Maruti Suzuki Baleno,PLATINUM,639199,34731,Petrol,2nd Owner,2016,Maruti
103,Hyundai Grand i10,PLATINUM,522999,30536,Petrol,1st Owner,2016,Hyundai
104,MG Motors Hector,PLATINUM,1917599,10205,Diesel,2nd Owner,2019,MG
105,Maruti Suzuki Wagon,PLATINUM,466599,25483,Petrol,2nd Owner,2017,Maruti
106,Toyota Corolla Altis,PLATINUM,1397699,39113,Petrol,2nd Owner,2017,Toyota
107,Maruti Suzuki Ignis,PLATINUM,504399,43152,Petrol,2nd Owner,2017,Maruti
108,MG Motors Hector,PLATINUM,1920399,5325,Petrol,2nd Owner,2020,MG
109,Ford Ecosport,PLATINUM,917599,44705,Petrol,2nd Owner,2018,Ford
110,Toyota Etios,PLATINUM,319099,70022,Petrol,2nd Owner,2011,Toyota
111,Maruti Suzuki Celerio,PLATINUM,484399,47435,Petrol,2nd Owner,2017,Maruti
112,Volkswagen Polo HIGHLINE1.2L,GOLD,290000,89000,Petrol,2nd Owner,2010,Volkswagen
113,Mahindra Thar DI,GOLD,1790000,9826,Petrol,2nd Owner,2021,Mahindra
114,Ford EcoSport Trend,GOLD,650000,83000,Diesel,2nd Owner,2017,Ford
115,Honda City 1.5,GOLD,73000,195000,Petrol,2nd Owner,2001,Honda
116,Toyota Innova Crysta,GOLD,2200000,35000,Diesel,2nd Owner,2019,Toyota
117,Hyundai Verna 1.6,GOLD,1550000,13000,Petrol,1st Owner,2022,Hyundai
118,Mahindra e2o T2,GOLD,420000,46000,Electric,1st Owner,2016,Mahindra
119,Toyota Fortuner 4x4,GOLD,1595000,72000,Diesel,1st Owner,2015,Toyota
120,Hyundai Xcent,PLATINUM,573499,29026,Petrol,2nd Owner,2016,Hyundai
121,Hyundai Creta 1.6,PLATINUM,879199,59258,Petrol,2nd Owner,2015,Hyundai
122,Mahindra XUV 500,PLATINUM,733399,120399,Diesel,1st Owner,2014,Mahindra
123,Maruti Suzuki Vitara,PLATINUM,967599,28853,Diesel,2nd Owner,2018,Maruti
124,Honda City,PLATINUM,1539299,9811,Petrol,2nd Owner,2020,Honda
125,Hyundai i20 Active,PLATINUM,561499,43538,Petrol,2nd Owner,2015,Hyundai
